시간,홈,득점,실점,슈팅,유효슈팅,볼점유율,코너킥,프리킥,오프사이드,파울,경고,퇴장,원정,득점,실점 ,슈팅,유효슈팅,볼점유율,코너킥,프리킥,오프사이드,파울,경고,퇴장
2022-09-18 23:00,노리치,1,3,6,4,47%,4,14,1,10,1,0,왓포드,3,1,8,7,53%,8,11,0,14,1,0
2022-09-19 1:30,아스톤 빌라,3,0,9,3,56%,5,12,0,7,1,0,에버턴 ,0,3,5,2,44%,4,7,2,10,1,0
2022-09-19 22:00,브라이튼,2,1,4,3,39%,4,12,3,8,2,0,레스터,1,2,3,3,61%,9,11,2,10,1,0
2022-09-19 22:00,웨스트햄,1,2,8,3,35%,2,8,2,5,0,0,맨유,2,1,15,10,65%,11,7,0,8,0,0
2022-09-25 0:30,토트넘,0,3,2,1,51%,5,16,0,4,0,0,첼시,3,0,13,10,49%,11,4,1,15,1,0
2022-09-25 20:30,첼시,0,1,0,0,40%,4,14,3,12,3,0,맨시티,1,0,6,3,60%,13,15,4,10,2,0
2022-09-25 20:30,맨유,0,1,14,5,60%,5,16,2,9,2,0,아스톤 빌라,1,0,7,3,40%,5,11,3,13,2,0
2022-09-25 23:00,에버턴,2,0,4,4,57%,6,9,1,12,2,0,노리치,0,2,2,0,43%,4,13,0,9,3,0
2022-09-25 23:00,리즈,1,2,10,5,52%,5,6,2,10,3,0,웨스트햄 ,2,1,17,8,48%,7,11,0,6,2,0
2022-09-25 23:00,레스터 ,2,2,7,3,67%,8,12,1,10,2,0,번리,2,2,5,2,33%,3,11,4,8,4,0
2022-09-25 23:00,왓포드,1,1,10,4,52%,5,13,1,19,4,0,뉴캐슬,1,1,12,4,48%,6,20,1,12,3,0
2022-09-26 1:30,브렌트포드,3,3,9,4,34%,2,10,3,9,1,0,리버풀,3,3,15,8,66%,11,12,3,7,1,0
2022-09-26 22:00,사우샘스턴,0,1,9,8,57%,5,9,3,12,0,0,울버햄튼,1,0,5,4,43%,5,15,1,8,0,0
2022-09-27 0:30,아스널,3,1,9,6,49%,4,17,2,12,2,0,토트넘,1,3,10,4,51%,4,14,4,13,1,0
2022-09-28 4:00,팰리스,1,1,5,3,47%,6,11,1,12,2,0,브라이튼,1,1,7,5,53%,5,13,0,10,4,0
2022-10-02,맨유,1,1,10,5,68%,10,11,2,10,1,0,에버턴,1,1,6,2,32%,1,12,2,9,1,0
2022-10-02 23:00,번리,0,0,4,1,57%,9,3,2,13,5,0,노리치,0,0,4,1,43%,5,15,0,3,2,0
2022-10-02 23:00,첼시,3,1,16,10,62%,7,13,1,11,1,0,사우샘프턴,1,3,5,2,38%,2,13,0,13,3,1
2022-10-02 23:00,리즈,1,0,6,2,67%,6,17,0,10,0,0,왓포드,0,1,3,1,33%,3,10,0,16,3,0
2022-10-02 23:00,울버햄튼,2,1,6,3,52%,0,6,2,15,0,0,뉴캐슬,1,2,2,2,48%,4,17,1,5,2,0
2022-10-03 1:30,브라이튼,0,0,15,3,57%,8,6,1,8,2,0,아스널,0,0,6,2,43%,5,9,1,5,1,0
2022-10-03 22:00,팰리스,2,2,12,5,60%,1,11,3,15,2,0,레스터,2,2,7,5,40%,3,18,1,10,3,0
2022-10-03 22:00,토트넘,2,1,14,7,56%,5,15,0,11,2,0,아스톤 빌라,1,2,6,3,44%,8,11,1,14,1,0
2022-10-03 22:00,웨스트햄,1,2,3,2,61%,10,14,2,16,2,0,브렌트포드,2,1,6,4,39%,6,18,1,13,3,0
2022-10-04 0:30,리버풀,2,2,3,3,48%,3,17,2,10,3,0,맨시티,2,2,6,3,52%,4,12,5,12,3,0
2022-10-16 20:30,왓포드,0,5,5,3,23%,1,12,8,4,0,0,리버풀,5,0,12,8,77%,9,12,2,10,0,0
2022-10-16 23:00,아스톤 빌라,2,3,5,3,51%,6,19,1,8,2,0,울버햄튼,3,2,4,4,49%,7,9,2,17,3,0
2022-10-16 23:00,레스터 ,4,2,19,12,49%,4,20,2,5,0,0,맨유,2,4,13,6,51%,3,7,3,17,3,0
2022-10-16 23:00,맨시티,2,0,12,7,72%,6,8,0,11,1,0,번리,0,2,6,2,28%,2,11,3,5,0,0
2022-10-16 23:00,노리치,0,0,7,3,35%,8,14,0,5,3,0,브라이튼,0,0,8,3,65%,4,5,0,14,5,0
2022-10-16 23:00,사우샘스턴,1,0,16,5,45%,8,16,1,16,2,0,리즈,1,0,4,1,55%,1,14,2,14,3,0
